conflict_id,full_conflict_size,context_before_size,conflict_size,context_after_size,resolution_size,parent1_size,parent2_size,base_size
4943a1,11,3,5,3,22,1,1,-1
4943a2,22,3,16,3,19,13,0,-1
4943a3,27,3,21,3,19,14,4,-1
4943a4,11,3,5,3,8,1,1,-1
4970a1,38,3,32,3,50,16,13,-1
5234a1,12,3,6,3,36,1,2,-1
5234b1,10,3,4,3,34,1,0,-1
5234b2,28,3,22,3,34,19,0,-1
5234b3,27,3,21,3,34,15,3,-1
5234c2,16,3,10,3,20,4,3,-1
5234c3,21,3,15,3,26,8,4,-1
5234c5,11,3,5,3,29,1,1,-1
5234c6,44,3,38,3,29,35,0,-1
5234c7,122,3,118,1,40,115,0,-1
5242a1,19,3,13,3,39,5,5,-1
5242b1,14,3,8,3,22,4,1,-1
5242b2,30,3,24,3,34,8,13,-1
5242b3,78,3,72,3,34,9,60,-1
5244a1,16,3,10,3,28,6,1,-1
5244a2,14,3,8,3,22,3,2,-1
5244a3,12,3,6,3,25,2,1,-1
5244a4,22,3,16,3,30,9,4,-1
5244a5,52,3,47,2,65,8,36,-1
5254a1,10,3,4,3,34,1,0,-1
5254a2,17,3,11,3,37,5,3,-1
5254a3,17,3,11,3,37,5,3,-1
5254a4,17,3,11,3,37,5,3,-1
5254a5,15,3,9,3,36,4,2,-1
5254a6,10,3,4,3,34,1,0,-1
5254b1,10,3,4,3,31,1,0,-1
5254b2,8,3,4,1,17,1,0,-1
5297a1,35,1,31,3,16,14,14,-1
5297a2,24,3,18,3,26,7,8,-1
5297b1,35,1,31,3,17,14,14,-1
5297b2,37,3,31,3,34,14,14,-1
5297b3,15,3,9,3,37,3,3,-1
5297b4,23,3,17,3,41,7,7,-1
5297b5,31,3,25,3,50,16,6,-1
5297c1,35,1,31,3,31,14,14,-1
5297d1,35,1,31,3,31,14,14,-1
5298b1,24,3,18,3,40,6,9,-1
5298b4,20,3,14,3,40,6,5,-1
5298b5,34,3,28,3,47,13,12,-1
5298b6,20,3,14,3,40,6,5,-1
5303a1,11,1,7,3,19,2,2,-1
5303b1,9,1,5,3,18,1,1,-1
542a1,16,3,10,3,38,4,3,-1
5543a1,13,3,7,3,37,3,1,-1
5545a1,28,3,22,3,56,18,1,-1
5545a2,19,3,13,3,39,5,5,-1
5545a3,11,3,5,3,36,1,1,-1
554a1,19,3,13,3,38,2,8,-1
554a2,57,3,51,3,82,48,0,-1
555a1,12,3,6,3,36,1,2,-1
555b1,27,3,21,3,43,9,9,-1
5560a1,62,3,56,3,25,4,49,-1
5562a1,26,3,20,3,34,0,17,-1
557a1,19,3,13,3,30,3,7,-1
560a1,28,3,22,3,35,18,1,-1
560a2,30,3,24,3,37,18,3,-1
561a1,10,3,4,3,30,1,0,-1
561a2,918,3,912,3,91,57,852,-1
561a3,21,3,15,3,34,6,6,-1
561a4,23,3,17,3,31,3,11,-1
561a5,42,3,36,3,32,10,23,-1
561a6,37,3,31,3,19,11,17,-1
561a7,126,3,120,3,34,14,103,-1
562a1,11,3,5,3,34,2,0,-1
562a2,72,3,66,3,34,63,0,-1
562a3,13,3,7,3,35,3,1,-1
562a4,17,3,11,3,33,5,3,-1
562a5,10,3,4,3,33,1,0,-1
562a6,14,3,8,3,33,3,2,-1
562a7,15,3,9,3,33,4,2,-1
562a8,36,3,30,3,47,14,13,-1
562b1,18,3,12,3,39,4,5,-1
5727a1,11,3,5,3,35,1,1,-1
5727b1,11,3,5,3,35,1,1,-1
5727c1,11,3,5,3,35,1,1,-1
5730a1,58,3,52,3,60,23,26,-1
587a1,32,3,26,3,56,20,3,-1
606a1,10,3,4,3,34,1,0,-1
606b1,39,3,33,3,52,16,14,-1
608a1,10,3,4,3,30,1,0,-1
608a2,11,3,5,3,24,1,1,-1
608a3,11,3,5,3,20,1,1,-1
608a4,10,3,4,3,27,0,1,-1
608a5,12,3,6,3,37,0,3,-1
608a7,11,3,5,3,33,1,1,-1
608a8,27,3,21,3,46,7,11,-1
608a9,14,3,8,3,38,4,1,-1
608b1,13,3,7,3,35,1,3,-1
608b2,24,3,18,3,48,14,1,-1
608c1,18,3,12,3,39,2,7,-1
608c2,25,3,19,3,34,7,9,-1
608d1,10,3,4,3,34,1,0,-1
608e2,13,3,7,3,37,2,2,-1
608e3,11,3,5,3,35,0,2,-1
608e4,11,3,5,3,36,2,0,-1
608f1,20,3,14,3,34,5,6,-1
608g1,39,3,33,3,52,18,12,-1
608g2,9,3,5,1,17,1,1,-1
609a1,13,3,7,3,38,2,2,-1
609a2,18,3,12,3,41,7,2,-1
616a2,12,3,6,3,35,2,1,-1
616a3,14,3,8,3,34,2,3,-1
616b1,19,3,13,3,34,2,8,-1
616b2,94,3,88,3,23,0,85,-1
616b3,15,3,9,3,28,4,2,-1
616b4,93,3,87,3,34,84,0,-1
616c1,10,3,4,3,14,1,0,-1
616c2,10,3,4,3,27,0,1,-1
616c3,31,3,25,3,34,9,13,-1
616c4,11,3,5,3,35,1,1,-1
616c5,65,3,59,3,83,0,56,-1
616c6,104,3,98,3,41,88,7,-1
616d2,12,3,6,3,37,2,1,-1
6214a1,11,3,5,3,35,1,1,-1
6230a1,15,3,9,3,36,2,4,-1
6231a1,16,3,10,3,34,3,4,-1
6231b1,16,3,10,3,34,3,4,-1
6231c1,16,3,10,3,34,3,4,-1
6231d1,16,3,10,3,34,3,4,-1
6233a1,14,3,8,3,36,2,3,-1
6233b1,13,3,7,3,36,2,2,-1
6233c1,13,3,7,3,36,2,2,-1
6233d1,14,3,8,3,34,2,3,-1
6233e1,14,3,8,3,34,2,3,-1
626a1,28,3,22,3,34,4,15,-1
6339a1,13,3,7,3,36,2,2,-1
641a1,27,3,21,3,65,17,1,-1
641b1,12,3,6,3,36,1,2,-1
641c2,15,3,9,3,12,3,3,-1
641c3,11,3,5,3,29,1,1,-1
641c4,14,3,8,3,36,2,3,-1
641c5,11,3,5,3,35,1,1,-1
641d1,158,3,152,3,35,1,148,-1
